EventID,shortfall_sum,policies,covered_count,Gap,Overlap
0::S000_F000,0,2,0,False,False
0::S000_F001,0,2,0,False,False
0::S000_F002,0,2,0,False,False
0::S000_F003,0,2,0,False,False
0::S000_F004,2,2,1,False,False
0::S000_F005,0,2,0,False,False
0::S000_F006,3,2,1,False,False
0::S000_F007,6,2,1,False,False
0::S000_F008,7,2,1,False,False
0::S000_F009,0,2,0,False,False
0::S000_F010,0,2,0,False,False
0::S000_F011,0,2,0,False,False
0::S000_F012,13,2,1,False,False
0::S000_F013,0,2,0,False,False
0::S000_F014,0,2,0,False,False
0::S000_F015,0,2,0,False,False
0::S000_F016,1,2,1,False,False
0::S000_F017,10,2,2,False,True
0::S000_F018,0,2,0,False,False
0::S000_F019,0,2,0,False,False
10::S010_F000,0,2,0,False,False
10::S010_F001,0,2,0,False,False
10::S010_F002,3,2,1,False,False
10::S010_F003,0,2,0,False,False
10::S010_F004,0,2,0,False,False
10::S010_F005,0,2,0,False,False
10::S010_F006,0,2,0,False,False
10::S010_F007,7,2,1,False,False
10::S010_F008,7,2,1,False,False
10::S010_F009,7,2,1,False,False
10::S010_F010,0,2,0,False,False
10::S010_F011,0,2,0,False,False
10::S010_F012,10,2,1,False,False
10::S010_F013,0,2,0,False,False
10::S010_F014,0,2,0,False,False
10::S010_F015,10,2,1,False,False
10::S010_F016,15,2,1,False,False
10::S010_F017,2,2,1,False,False
10::S010_F018,0,2,0,False,False
10::S010_F019,3,2,1,False,False
11::S011_F000,1,2,1,False,False
11::S011_F001,0,2,0,False,False
11::S011_F002,3,2,1,False,False
11::S011_F003,0,2,0,False,False
11::S011_F004,3,2,1,False,False
11::S011_F005,0,2,0,False,False
11::S011_F006,0,2,0,False,False
11::S011_F007,5,2,1,False,False
11::S011_F008,3,2,1,False,False
11::S011_F009,0,2,0,False,False
11::S011_F010,0,2,0,False,False
11::S011_F011,4,2,1,False,False
11::S011_F012,0,2,0,False,False
11::S011_F013,0,2,0,False,False
11::S011_F014,0,2,0,False,False
11::S011_F015,2,2,1,False,False
11::S011_F016,5,2,1,False,False
11::S011_F017,0,2,0,False,False
11::S011_F018,5,2,1,False,False
11::S011_F019,0,2,0,False,False
12::S012_F000,0,2,0,False,False
12::S012_F001,0,2,0,False,False
12::S012_F002,0,2,0,False,False
12::S012_F003,8,2,2,False,True
12::S012_F004,0,2,0,False,False
12::S012_F005,0,2,0,False,False
12::S012_F006,0,2,0,False,False
12::S012_F007,0,2,0,False,False
12::S012_F008,0,2,0,False,False
12::S012_F009,0,2,0,False,False
12::S012_F010,0,2,0,False,False
12::S012_F011,4,2,1,False,False
12::S012_F012,0,2,0,False,False
12::S012_F013,0,2,0,False,False
12::S012_F014,0,2,0,False,False
12::S012_F015,5,2,1,False,False
12::S012_F016,0,2,0,False,False
12::S012_F017,0,2,0,False,False
12::S012_F018,0,2,0,False,False
12::S012_F019,0,2,0,False,False
13::S013_F000,0,2,0,False,False
13::S013_F001,0,2,0,False,False
13::S013_F002,0,2,0,False,False
13::S013_F003,5,2,1,False,False
13::S013_F004,0,2,0,False,False
13::S013_F005,0,2,0,False,False
13::S013_F006,0,2,0,False,False
13::S013_F007,0,2,0,False,False
13::S013_F008,9,2,2,False,True
13::S013_F009,0,2,0,False,False
13::S013_F010,1,2,1,False,False
13::S013_F011,0,2,0,False,False
13::S013_F012,15,2,2,False,True
13::S013_F013,0,2,0,False,False
13::S013_F014,0,2,0,False,False
13::S013_F015,0,2,0,False,False
13::S013_F016,6,2,1,False,False
13::S013_F017,10,2,2,False,True
13::S013_F018,0,2,0,False,False
13::S013_F019,4,2,1,False,False
14::S014_F000,0,2,0,False,False
14::S014_F001,4,2,1,False,False
14::S014_F002,5,2,1,False,False
14::S014_F003,0,2,0,False,False
14::S014_F004,0,2,0,False,False
14::S014_F005,0,2,0,False,False
14::S014_F006,0,2,0,False,False
14::S014_F007,0,2,0,False,False
14::S014_F008,7,2,1,False,False
14::S014_F009,0,2,0,False,False
14::S014_F010,0,2,0,False,False
14::S014_F011,3,2,1,False,False
14::S014_F012,0,2,0,False,False
14::S014_F013,1,2,1,False,False
14::S014_F014,0,2,0,False,False
14::S014_F015,0,2,0,False,False
14::S014_F016,0,2,0,False,False
14::S014_F017,10,2,1,False,False
14::S014_F018,0,2,0,False,False
14::S014_F019,9,2,1,False,False
15::S015_F000,0,2,0,False,False
15::S015_F001,0,2,0,False,False
15::S015_F002,0,2,0,False,False
15::S015_F003,0,2,0,False,False
15::S015_F004,1,2,1,False,False
15::S015_F005,0,2,0,False,False
15::S015_F006,0,2,0,False,False
15::S015_F007,3,2,1,False,False
15::S015_F008,0,2,0,False,False
15::S015_F009,0,2,0,False,False
15::S015_F010,3,2,1,False,False
15::S015_F011,0,2,0,False,False
15::S015_F012,0,2,0,False,False
15::S015_F013,0,2,0,False,False
15::S015_F014,2,2,1,False,False
15::S015_F015,9,2,1,False,False
15::S015_F016,0,2,0,False,False
15::S015_F017,4,2,1,False,False
15::S015_F018,0,2,0,False,False
15::S015_F019,5,2,1,False,False
16::S016_F000,0,2,0,False,False
16::S016_F001,0,2,0,False,False
16::S016_F002,5,2,1,False,False
16::S016_F003,0,2,0,False,False
16::S016_F004,0,2,0,False,False
16::S016_F005,3,2,1,False,False
16::S016_F006,0,2,0,False,False
16::S016_F007,0,2,0,False,False
16::S016_F008,8,2,1,False,False
16::S016_F009,6,2,1,False,False
16::S016_F010,0,2,0,False,False
16::S016_F011,0,2,0,False,False
16::S016_F012,5,2,1,False,False
16::S016_F013,0,2,0,False,False
16::S016_F014,0,2,0,False,False
16::S016_F015,6,2,1,False,False
16::S016_F016,0,2,0,False,False
16::S016_F017,6,2,1,False,False
16::S016_F018,7,2,1,False,False
16::S016_F019,9,2,2,False,True
17::S017_F000,0,2,0,False,False
17::S017_F001,7,2,1,False,False
17::S017_F002,0,2,0,False,False
17::S017_F003,9,2,1,False,False
17::S017_F004,12,2,1,False,False
17::S017_F005,0,2,0,False,False
17::S017_F006,8,2,1,False,False
17::S017_F007,1,2,1,False,False
17::S017_F008,10,2,1,False,False
17::S017_F009,0,2,0,False,False
17::S017_F010,13,2,2,False,True
17::S017_F011,0,2,0,False,False
17::S017_F012,0,2,0,False,False
17::S017_F013,0,2,0,False,False
17::S017_F014,0,2,0,False,False
17::S017_F015,0,2,0,False,False
17::S017_F016,8,2,1,False,False
17::S017_F017,0,2,0,False,False
17::S017_F018,2,2,1,False,False
17::S017_F019,5,2,1,False,False
18::S018_F000,9,2,2,False,True
18::S018_F001,0,2,0,False,False
18::S018_F002,0,2,0,False,False
18::S018_F003,8,2,1,False,False
18::S018_F004,0,2,0,False,False
18::S018_F005,0,2,0,False,False
18::S018_F006,9,2,1,False,False
18::S018_F007,3,2,1,False,False
18::S018_F008,1,2,1,False,False
18::S018_F009,3,2,1,False,False
18::S018_F010,0,2,0,False,False
18::S018_F011,0,2,0,False,False
18::S018_F012,1,2,1,False,False
18::S018_F013,0,2,0,False,False
18::S018_F014,0,2,0,False,False
18::S018_F015,6,2,1,False,False
18::S018_F016,0,2,0,False,False
18::S018_F017,0,2,0,False,False
18::S018_F018,10,2,1,False,False
18::S018_F019,0,2,0,False,False
19::S019_F000,2,2,1,False,False
19::S019_F001,0,2,0,False,False
19::S019_F002,4,2,1,False,False
19::S019_F003,6,2,1,False,False
19::S019_F004,0,2,0,False,False
19::S019_F005,7,2,1,False,False
19::S019_F006,0,2,0,False,False
19::S019_F007,12,2,2,False,True
19::S019_F008,0,2,0,False,False
19::S019_F009,2,2,1,False,False
19::S019_F010,0,2,0,False,False
19::S019_F011,0,2,0,False,False
19::S019_F012,0,2,0,False,False
19::S019_F013,0,2,0,False,False
19::S019_F014,2,2,1,False,False
19::S019_F015,7,2,1,False,False
19::S019_F016,2,2,1,False,False
19::S019_F017,8,2,2,False,True
19::S019_F018,0,2,0,False,False
19::S019_F019,8,2,2,False,True
1::S001_F000,5,2,1,False,False
1::S001_F001,0,2,0,False,False
1::S001_F002,4,2,1,False,False
1::S001_F003,0,2,0,False,False
1::S001_F004,0,2,0,False,False
1::S001_F005,5,2,1,False,False
1::S001_F006,3,2,1,False,False
1::S001_F007,0,2,0,False,False
1::S001_F008,10,2,1,False,False
1::S001_F009,0,2,0,False,False
1::S001_F010,2,2,1,False,False
1::S001_F011,0,2,0,False,False
1::S001_F012,0,2,0,False,False
1::S001_F013,2,2,1,False,False
1::S001_F014,8,2,1,False,False
1::S001_F015,19,2,2,False,True
1::S001_F016,0,2,0,False,False
1::S001_F017,0,2,0,False,False
1::S001_F018,0,2,0,False,False
1::S001_F019,0,2,0,False,False
20::S020_F000,0,2,0,False,False
20::S020_F001,0,2,0,False,False
20::S020_F002,0,2,0,False,False
20::S020_F003,0,2,0,False,False
20::S020_F004,6,2,1,False,False
20::S020_F005,0,2,0,False,False
20::S020_F006,1,2,1,False,False
20::S020_F007,0,2,0,False,False
20::S020_F008,6,2,1,False,False
20::S020_F009,0,2,0,False,False
20::S020_F010,0,2,0,False,False
20::S020_F011,4,2,1,False,False
20::S020_F012,0,2,0,False,False
20::S020_F013,0,2,0,False,False
20::S020_F014,0,2,0,False,False
20::S020_F015,0,2,0,False,False
20::S020_F016,0,2,0,False,False
20::S020_F017,0,2,0,False,False
20::S020_F018,2,2,1,False,False
20::S020_F019,11,2,1,False,False
21::S021_F000,0,2,0,False,False
21::S021_F001,0,2,0,False,False
21::S021_F002,3,2,1,False,False
21::S021_F003,0,2,0,False,False
21::S021_F004,0,2,0,False,False
21::S021_F005,5,2,1,False,False
21::S021_F006,0,2,0,False,False
21::S021_F007,0,2,0,False,False
21::S021_F008,2,2,1,False,False
21::S021_F009,0,2,0,False,False
21::S021_F010,0,2,0,False,False
21::S021_F011,0,2,0,False,False
21::S021_F012,1,2,1,False,False
21::S021_F013,4,2,1,False,False
21::S021_F014,0,2,0,False,False
21::S021_F015,0,2,0,False,False
21::S021_F016,1,2,1,False,False
21::S021_F017,7,2,1,False,False
21::S021_F018,5,2,1,False,False
21::S021_F019,7,2,1,False,False
22::S022_F000,3,2,2,False,True
22::S022_F001,0,2,0,False,False
22::S022_F002,0,2,0,False,False
22::S022_F003,0,2,0,False,False
22::S022_F004,0,2,0,False,False
22::S022_F005,0,2,0,False,False
22::S022_F006,0,2,0,False,False
22::S022_F007,0,2,0,False,False
22::S022_F008,11,2,1,False,False
22::S022_F009,1,2,1,False,False
22::S022_F010,4,2,2,False,True
22::S022_F011,9,2,1,False,False
22::S022_F012,2,2,1,False,False
22::S022_F013,0,2,0,False,False
22::S022_F014,0,2,0,False,False
22::S022_F015,0,2,0,False,False
22::S022_F016,3,2,1,False,False
22::S022_F017,0,2,0,False,False
22::S022_F018,0,2,0,False,False
22::S022_F019,0,2,0,False,False
23::S023_F000,0,2,0,False,False
23::S023_F001,0,2,0,False,False
23::S023_F002,0,2,0,False,False
23::S023_F003,7,2,1,False,False
23::S023_F004,4,2,1,False,False
23::S023_F005,6,2,1,False,False
23::S023_F006,0,2,0,False,False
23::S023_F007,1,2,1,False,False
23::S023_F008,3,2,1,False,False
23::S023_F009,0,2,0,False,False
23::S023_F010,16,2,1,False,False
23::S023_F011,0,2,0,False,False
23::S023_F012,0,2,0,False,False
23::S023_F013,0,2,0,False,False
23::S023_F014,2,2,1,False,False
23::S023_F015,2,2,1,False,False
23::S023_F016,0,2,0,False,False
23::S023_F017,0,2,0,False,False
23::S023_F018,0,2,0,False,False
23::S023_F019,7,2,1,False,False
24::S024_F000,0,2,0,False,False
24::S024_F001,1,2,1,False,False
24::S024_F002,0,2,0,False,False
24::S024_F003,0,2,0,False,False
24::S024_F004,0,2,0,False,False
24::S024_F005,0,2,0,False,False
24::S024_F006,0,2,0,False,False
24::S024_F007,0,2,0,False,False
24::S024_F008,4,2,2,False,True
24::S024_F009,4,2,1,False,False
24::S024_F010,6,2,1,False,False
24::S024_F011,1,2,1,False,False
24::S024_F012,0,2,0,False,False
24::S024_F013,15,2,1,False,False
24::S024_F014,3,2,2,False,True
24::S024_F015,0,2,0,False,False
24::S024_F016,0,2,0,False,False
24::S024_F017,6,2,1,False,False
24::S024_F018,4,2,1,False,False
24::S024_F019,0,2,0,False,False
25::S025_F000,12,2,1,False,False
25::S025_F001,0,2,0,False,False
25::S025_F002,2,2,1,False,False
25::S025_F003,0,2,0,False,False
25::S025_F004,0,2,0,False,False
25::S025_F005,1,2,1,False,False
25::S025_F006,0,2,0,False,False
25::S025_F007,1,2,1,False,False
25::S025_F008,0,2,0,False,False
25::S025_F009,0,2,0,False,False
25::S025_F010,0,2,0,False,False
25::S025_F011,1,2,1,False,False
25::S025_F012,3,2,1,False,False
25::S025_F013,10,2,1,False,False
25::S025_F014,2,2,1,False,False
25::S025_F015,0,2,0,False,False
25::S025_F016,0,2,0,False,False
25::S025_F017,0,2,0,False,False
25::S025_F018,3,2,1,False,False
25::S025_F019,2,2,1,False,False
26::S026_F000,0,2,0,False,False
26::S026_F001,0,2,0,False,False
26::S026_F002,13,2,1,False,False
26::S026_F003,1,2,1,False,False
26::S026_F004,2,2,1,False,False
26::S026_F005,0,2,0,False,False
26::S026_F006,0,2,0,False,False
26::S026_F007,14,2,2,False,True
26::S026_F008,0,2,0,False,False
26::S026_F009,0,2,0,False,False
26::S026_F010,0,2,0,False,False
26::S026_F011,2,2,1,False,False
26::S026_F012,12,2,2,False,True
26::S026_F013,1,2,1,False,False
26::S026_F014,9,2,1,False,False
26::S026_F015,4,2,1,False,False
26::S026_F016,0,2,0,False,False
26::S026_F017,0,2,0,False,False
26::S026_F018,3,2,1,False,False
26::S026_F019,9,2,1,False,False
27::S027_F000,3,2,1,False,False
27::S027_F001,3,2,1,False,False
27::S027_F002,7,2,1,False,False
27::S027_F003,0,2,0,False,False
27::S027_F004,0,2,0,False,False
27::S027_F005,5,2,1,False,False
27::S027_F006,4,2,1,False,False
27::S027_F007,0,2,0,False,False
27::S027_F008,0,2,0,False,False
27::S027_F009,8,2,1,False,False
27::S027_F010,0,2,0,False,False
27::S027_F011,0,2,0,False,False
27::S027_F012,4,2,1,False,False
27::S027_F013,9,2,2,False,True
27::S027_F014,0,2,0,False,False
27::S027_F015,0,2,0,False,False
27::S027_F016,0,2,0,False,False
27::S027_F017,0,2,0,False,False
27::S027_F018,0,2,0,False,False
27::S027_F019,0,2,0,False,False
28::S028_F000,0,2,0,False,False
28::S028_F001,2,2,1,False,False
28::S028_F002,0,2,0,False,False
28::S028_F003,4,2,1,False,False
28::S028_F004,3,2,1,False,False
28::S028_F005,0,2,0,False,False
28::S028_F006,1,2,1,False,False
28::S028_F007,0,2,0,False,False
28::S028_F008,1,2,1,False,False
28::S028_F009,5,2,1,False,False
28::S028_F010,0,2,0,False,False
28::S028_F011,0,2,0,False,False
28::S028_F012,0,2,0,False,False
28::S028_F013,0,2,0,False,False
28::S028_F014,0,2,0,False,False
28::S028_F015,0,2,0,False,False
28::S028_F016,4,2,1,False,False
28::S028_F017,0,2,0,False,False
28::S028_F018,0,2,0,False,False
28::S028_F019,2,2,1,False,False
29::S029_F000,10,2,1,False,False
29::S029_F001,0,2,0,False,False
29::S029_F002,3,2,1,False,False
29::S029_F003,2,2,1,False,False
29::S029_F004,0,2,0,False,False
29::S029_F005,0,2,0,False,False
29::S029_F006,0,2,0,False,False
29::S029_F007,8,2,2,False,True
29::S029_F008,0,2,0,False,False
29::S029_F009,7,2,1,False,False
29::S029_F010,3,2,1,False,False
29::S029_F011,8,2,1,False,False
29::S029_F012,0,2,0,False,False
29::S029_F013,0,2,0,False,False
29::S029_F014,8,2,1,False,False
29::S029_F015,0,2,0,False,False
29::S029_F016,8,2,2,False,True
29::S029_F017,0,2,0,False,False
29::S029_F018,1,2,1,False,False
29::S029_F019,0,2,0,False,False
2::S002_F000,0,2,0,False,False
2::S002_F001,0,2,0,False,False
2::S002_F002,0,2,0,False,False
2::S002_F003,0,2,0,False,False
2::S002_F004,0,2,0,False,False
2::S002_F005,0,2,0,False,False
2::S002_F006,0,2,0,False,False
2::S002_F007,0,2,0,False,False
2::S002_F008,0,2,0,False,False
2::S002_F009,0,2,0,False,False
2::S002_F010,1,2,1,False,False
2::S002_F011,0,2,0,False,False
2::S002_F012,3,2,1,False,False
2::S002_F013,0,2,0,False,False
2::S002_F014,0,2,0,False,False
2::S002_F015,0,2,0,False,False
2::S002_F016,0,2,0,False,False
2::S002_F017,4,2,1,False,False
2::S002_F018,0,2,0,False,False
2::S002_F019,0,2,0,False,False
30::S030_F000,0,2,0,False,False
30::S030_F001,3,2,1,False,False
30::S030_F002,1,2,1,False,False
30::S030_F003,0,2,0,False,False
30::S030_F004,7,2,1,False,False
30::S030_F005,3,2,1,False,False
30::S030_F006,0,2,0,False,False
30::S030_F007,0,2,0,False,False
30::S030_F008,0,2,0,False,False
30::S030_F009,1,2,1,False,False
30::S030_F010,0,2,0,False,False
30::S030_F011,0,2,0,False,False
30::S030_F012,0,2,0,False,False
30::S030_F013,0,2,0,False,False
30::S030_F014,0,2,0,False,False
30::S030_F015,0,2,0,False,False
30::S030_F016,0,2,0,False,False
30::S030_F017,6,2,2,False,True
30::S030_F018,3,2,1,False,False
30::S030_F019,0,2,0,False,False
31::S031_F000,0,2,0,False,False
31::S031_F001,0,2,0,False,False
31::S031_F002,0,2,0,False,False
31::S031_F003,1,2,1,False,False
31::S031_F004,2,2,1,False,False
31::S031_F005,0,2,0,False,False
31::S031_F006,0,2,0,False,False
31::S031_F007,7,2,1,False,False
31::S031_F008,5,2,1,False,False
31::S031_F009,0,2,0,False,False
31::S031_F010,4,2,1,False,False
31::S031_F011,0,2,0,False,False
31::S031_F012,9,2,1,False,False
31::S031_F013,5,2,1,False,False
31::S031_F014,2,2,1,False,False
31::S031_F015,0,2,0,False,False
31::S031_F016,0,2,0,False,False
31::S031_F017,5,2,1,False,False
